Engine Information/Transmission,Engine Information/Engine Type,Engine Information/Engine Statistics/Horsepower,Engine Information/Engine Statistics/Torque,Engine Information/Hybrid,Engine Information/Number of Forward Gears,Engine Information/Driveline,Identification/Make,Identification/Model Year,Identification/ID,Identification/Classification,Identification/Year,Dimensions/Width,Dimensions/Length,Dimensions/Height,Fuel Information/Highway mpg,Fuel Information/City mph,Fuel Information/Fuel Type
5 Speed Automatic,Honda 2.4L 4 cylinder 190 hp 162 ft-lbs,190,162,FALSE,5,Front-wheel drive,Honda,2010 Honda Accord Coupe,2010 Honda Accord LX-S Coup AT,Automatic transmission,2010,57,240,152,31,21,Gasoline
5 Speed Manual,Honda 2.4L 4 cylinder 190 hp 162 ft-lbs,190,162,FALSE,5,Front-wheel drive,Honda,2010 Honda Accord Coupe,2010 Honda Accord LX-S Coup,Manual transmission,2010,57,240,152,31,22,Gasoline
6 Speed Manual,Nissan 3.7L 6 Cylinder 332 hp 270 ft-lbs,332,270,FALSE,6,Rear-wheel drive,Nissan,2011 Nissan 370Z Roadster,2011 Nissan 370Z Roadster,Manual transmission,2011,57,150,45,25,18,Gasoline
7 Speed Automatic Select Shift,Nissan 3.7L 6 Cylinder 332 hp 270 ft-lbs,332,270,FALSE,7,Rear-wheel drive,Nissan,2011 Nissan 370Z Roadster,2011 Nissan 370Z Roadster AT,Automatic transmission,2011,57,150,45,25,18,Gasoline
6 Speed Manual,Nissan 3.7L 6 Cylinder 332 hp 270 ft-lbs,332,270,FALSE,6,Rear-wheel drive,Nissan,2011 Nissan 370Z Roadster,2011 Nissan 370Z Touring Roadster,Manual transmission,2011,57,150,45,25,18,Gasoline
7 Speed Automatic Select Shift,Nissan 3.7L 6 Cylinder 332 hp 270 ft-lbs,332,270,FALSE,7,Rear-wheel drive,Nissan,2011 Nissan 370Z Roadster,2011 Nissan 370Z Touring Roadster AT,Automatic transmission,2011,57,150,45,25,18,Gasoline
6 Speed Manual,Nissan 3.7L 6 Cylinder 332 hp 270 ft-lbs,332,270,FALSE,6,Rear-wheel drive,Nissan,2010 Nissan 370Z Roadster,2010 Nissan 370Z Touring Roadster,Manual transmission,2010,57,150,45,25,18,Gasoline
6 Speed Manual,Nissan 3.7L 6 Cylinder 332 hp 270 ft-lbs,332,270,FALSE,6,Rear-wheel drive,Nissan,2010 Nissan 370Z Roadster,2010 Nissan 370Z Roadster,Manual transmission,2010,57,150,45,25,18,Gasoline
7 Speed Automatic Select Shift,Nissan 3.7L 6 Cylinder 332 hp 270 ft-lbs,332,270,FALSE,7,Rear-wheel drive,Nissan,2010 Nissan 370Z Roadster,2010 Nissan 370Z Roadster AT,Automatic transmission,2010,57,150,45,25,18,Gasoline
7 Speed Automatic Select Shift,Nissan 3.7L 6 Cylinder 332 hp 270 ft-lbs,332,270,FALSE,7,Rear-wheel drive,Nissan,2010 Nissan 370Z Roadster,2010 Nissan 370Z Touring Roadster AT,Automatic transmission,2010,57,150,45,25,18,Gasoline
6 Speed Manual,Audi 2.0L 4 cylinder 200 hp 207 ft-lbs Turbo,200,207,FALSE,6,Front-wheel drive,Audi,2011 Audi A3,2011 Audi A3 2.0 T,Manual transmission,2011,203,196,143,30,21,Gasoline
6 Speed Manual,Nissan 3.7L 6 Cylinder 332 hp 270 ft-lbs,332,270,FALSE,6,Rear-wheel drive,Nissan,2011 Nissan 370Z Coupe,2011 Nissan 370Z Coupe,Manual transmission,2011,52,150,35,26,18,Gasoline
6 Speed Manual,Nissan 3.7L 6 Cylinder 332 hp 270 ft-lbs,332,270,FALSE,6,Rear-wheel drive,Nissan,2011 Nissan 370Z Coupe,2011 Nissan 370Z Touring Coupe,Manual transmission,2011,52,150,35,26,18,Gasoline
7 Speed Automatic Select Shift,Nissan 3.7L 6 Cylinder 332 hp 270 ft-lbs,332,270,FALSE,7,Rear-wheel drive,Nissan,2011 Nissan 370Z Coupe,2011 Nissan 370Z Touring Coupe AT,Automatic transmission,2011,52,150,35,26,19,Gasoline
6 Speed Manual,Nissan 3.7L 6 Cylinder 332 hp 270 ft-lbs,332,270,FALSE,6,Rear-wheel drive,Nissan,2011 Nissan 370Z Coupe,2011 Nissan 370Z Touring Coupe,Manual transmission,2011,52,150,35,26,18,Gasoline
6 Speed Manual,Audi 2.0L 4 cylinder 200 hp 207 ft-lbs Turbo,200,207,FALSE,6,Front-wheel drive,Audi,2010 Audi A3,2010 Audi A3 2.0 T,Manual transmission,2010,203,196,143,30,21,Gasoline
7 Speed Automatic Select Shift,Nissan 3.7L 6 Cylinder 332 hp 270 ft-lbs,332,270,FALSE,7,Rear-wheel drive,Nissan,2010 Nissan 370Z Coupe,2010 Nissan 370Z Touring Coupe AT,Automatic transmission,2010,52,150,35,26,19,Gasoline
6 Speed Manual,Nissan 3.7L 6 Cylinder 332 hp 270 ft-lbs,332,270,FALSE,6,Rear-wheel drive,Nissan,2010 Nissan 370Z Coupe,2010 Nissan 370Z Coupe,Manual transmission,2010,52,150,35,26,18,Gasoline
6 Speed Manual,Nissan 3.7L 6 Cylinder 332 hp 270 ft-lbs,332,270,FALSE,6,Rear-wheel drive,Nissan,2010 Nissan 370Z Coupe,2010 Nissan 370Z Touring Coupe,Manual transmission,2010,52,150,35,26,18,Gasoline
7 Speed Automatic Select Shift,Nissan 3.7L 6 Cylinder 332 hp 270 ft-lbs,332,270,FALSE,7,Rear-wheel drive,Nissan,2010 Nissan 370Z Coupe,2010 Nissan 370Z Coupe AT,Automatic transmission,2010,52,150,35,26,19,Gasoline
6 Speed Manual,Audi 2.0L 4 cylinder 211 hp 258 ft-lbs Turbo,211,258,FALSE,6,All-wheel drive,Audi,2012 Audi A4 Sedan,2012 Audi A4 Sedan 2.0 T Quattro,Manual transmission,2012,248,95,147,31,21,Gasoline
8 Speed Automatic Select Shift,Audi 2.0L 4 cylinder 211 hp 258 ft-lbs Turbo,211,258,FALSE,8,All-wheel drive,Audi,2012 Audi A4 Sedan,2012 Audi A4 Sedan 2.0 T Quattro AT,Automatic transmission,2012,248,95,147,29,21,Gasoline
6 Speed Manual,Audi 2.0L 4 cylinder 211 hp 258 ft-lbs Turbo,211,258,FALSE,6,All-wheel drive,Audi,2011 Audi A4 Sedan,2011 Audi A4 Sedan 2.0 T Quattro,Manual transmission,2011,214,95,147,31,21,Gasoline
8 Speed Automatic Select Shift,Audi 2.0L 4 cylinder 211 hp 258 ft-lbs Turbo,211,258,FALSE,8,All-wheel drive,Audi,2011 Audi A4 Sedan,2011 Audi A4 Sedan 2.0 T Quattro AT,Automatic transmission,2011,214,95,147,29,21,Gasoline
5 Speed Manual,Ford 1.6L 4 Cylinder 120 hp 112 ft-lbs,120,112,FALSE,5,Front-wheel drive,Ford,2012 Ford Fiesta Sedan,2012 Ford Fiesta S Sedan,Manual transmission,2012,186,57,193,38,29,Gasoline
5 Speed Manual,Ford 1.6L 4 Cylinder 120 hp 112 ft-lbs,120,112,FALSE,5,Front-wheel drive,Ford,2012 Ford Fiesta Sedan,2012 Ford Fiesta SE Sedan,Manual transmission,2012,186,57,193,38,29,Gasoline
5 Speed Manual,Ford 1.6L 4 Cylinder 120 hp 112 ft-lbs,120,112,FALSE,5,Front-wheel drive,Ford,2012 Ford Fiesta Sedan,2012 Ford Fiesta SEL Sedan,Manual transmission,2012,186,57,193,38,29,Gasoline
5 Speed Manual,Ford 1.6L 4 Cylinder 120 hp 112 ft-lbs,120,112,FALSE,5,Front-wheel drive,Ford,2011 Ford Fiesta Sedan,2011 Ford Fiesta Sedan S,Manual transmission,2011,160,57,193,37,38,Gasoline
5 Speed Manual,Ford 1.6L 4 Cylinder 120 hp 112 ft-lbs,120,112,FALSE,5,Front-wheel drive,Ford,2011 Ford Fiesta Sedan,2011 Ford Fiesta Sedan SE,Manual transmission,2011,160,57,193,37,28,Gasoline
5 Speed Manual,Ford 1.6L 4 Cylinder 120 hp 112 ft-lbs,120,112,FALSE,5,Front-wheel drive,Ford,2011 Ford Fiesta Sedan,2011 Ford Fiesta Sedan SEL,Manual transmission,2011,160,57,193,37,28,Gasoline
5 Speed Automatic,Volvo 2.5L 5 Cylinder 227 hp 236 ft-lbs Turbo,227,236,FALSE,5,Front-wheel drive,Volvo,2011 Volvo C30,2011 Volvo C30 R-Design AT,Automatic transmission,2011,247,168,167,30,21,Gasoline
6 Speed Manual,Volvo 2.5L 5 Cylinder 227 hp 236 ft-lbs Turbo,227,236,FALSE,6,Front-wheel drive,Volvo,2011 Volvo C30,2011 Volvo C30 R-Design,Manual transmission,2011,247,168,167,29,21,Gasoline
5 Speed Automatic,Volvo 2.5L 5 Cylinder 227 hp 236 ft-lbs Turbo,227,236,FALSE,5,Front-wheel drive,Volvo,2010 Volvo C30,2010 Volvo C30 R-Design AT,Automatic transmission,2010,247,155,167,30,21,Gasoline
6 Speed Manual,Volvo 2.5L 5 Cylinder 227 hp 236 ft-lbs Turbo,227,236,FALSE,6,Front-wheel drive,Volvo,2010 Volvo C30,2010 Volvo C30 R-Design,Manual transmission,2010,247,155,167,29,21,Gasoline
6 Speed Automatic Select Shift,Audi 2.0L 4 cylinder 211 hp 258 ft-lbs Turbo,211,258,FALSE,6,All-wheel drive,Audi,2010 Audi A4 Sedan,2010 Audi A4 Sedan 2.0 T Quattro AT,Automatic transmission,2010,34,95,147,27,21,Gasoline
6 Speed Manual,Audi 2.0L 4 cylinder 211 hp 258 ft-lbs Turbo,211,258,FALSE,6,All-wheel drive,Audi,2010 Audi A4 Sedan,2010 Audi A4 Sedan 2.0 T Quattro,Manual transmission,2010,34,95,147,30,22,Gasoline
5 Speed Automatic,Volvo 2.4L 5 Cylinder 168 hp 166 ft-lbs,168,170,FALSE,5,Front-wheel drive,Volvo,2010 Volvo S40,2010 Volvo S40 2.4i AT,Automatic transmission,2010,234,123,172,29,21,Gasoline
5 Speed Automatic,Volvo 2.5L 5 Cylinder 227 hp 236 ft-lbs Turbo,227,236,FALSE,5,All-wheel drive,Volvo,2010 Volvo S40,2010 Volvo S40 R-Design AT AWD,Automatic transmission,2010,234,123,190,27,20,Gasoline
8 Speed Automatic Select Shift,Audi 2.0L 4 cylinder 211 hp 258 ft-lbs Turbo,211,258,FALSE,8,All-wheel drive,Audi,2012 Audi A4 Avant,2012 Audi A4 Avant 2.0 T,Automatic transmission,2012,248,95,156,29,21,Gasoline
8 Speed Automatic Select Shift,Audi 2.0L 4 cylinder 211 hp 258 ft-lbs Turbo,211,258,FALSE,8,All-wheel drive,Audi,2011 Audi A4 Avant,2011 Audi A4 Avant 2.0 T,Automatic transmission,2011,214,95,156,29,21,Gasoline
6 Speed Automatic Select Shift,Audi 2.0L 4 cylinder 211 hp 258 ft-lbs Turbo,211,258,FALSE,6,All-wheel drive,Audi,2010 Audi A4 Avant,2010 Audi A4 Avant 2.0 T,Automatic transmission,2010,34,95,155,30,23,Gasoline
5 Speed Manual,Honda 2.4L 4 cylinder 190 hp 162 ft-lbs,190,162,FALSE,5,Front-wheel drive,Honda,2011 Honda Accord Coup,2011 Honda Accord EX Coup,Manual transmission,2011,57,240,152,32,23,Gasoline
5 Speed Automatic,Honda 2.4L 4 cylinder 190 hp 162 ft-lbs,190,162,FALSE,5,Front-wheel drive,Honda,2011 Honda Accord Coup,2011 Honda Accord LX-S Coup AT,Automatic transmission,2011,57,240,152,33,22,Gasoline
6 Speed Manual,Honda 3.5L 6 Cylinder 271hp 251 ft-lbs,271,251,FALSE,6,Front-wheel drive,Honda,2011 Honda Accord Coup,2011 Honda Accord EX-L V-6 Coup,Manual transmission,2011,57,240,152,26,17,Gasoline
5 Speed Manual,Honda 2.4L 4 cylinder 190 hp 162 ft-lbs,190,162,FALSE,5,Front-wheel drive,Honda,2011 Honda Accord Coup,2011 Honda Accord LX-S Coup,Manual transmission,2011,57,240,152,32,23,Gasoline
5 Speed Automatic,Honda 3.5L 6 Cylinder 271hp 251 ft-lbs,271,251,FALSE,5,Front-wheel drive,Honda,2011 Honda Accord Coup,2011 Honda Accord EX-L V-6 Coup AT,Automatic transmission,2011,57,240,152,29,19,Gasoline
5 Speed Automatic,Honda 2.4L 4 cylinder 190 hp 162 ft-lbs,190,162,FALSE,5,Front-wheel drive,Honda,2011 Honda Accord Coup,2011 Honda Accord EX Coup AT,Automatic transmission,2011,57,240,152,33,22,Gasoline
5 Speed Automatic,Honda 2.4L 4 cylinder 190 hp 162 ft-lbs,190,162,FALSE,5,Front-wheel drive,Honda,2011 Honda Accord Coup,2011 Honda Accord EX-L Coup,Automatic transmission,2011,57,240,152,33,22,Gasoline
5 Speed Manual,Ford 1.6L 4 Cylinder 120 hp 112 ft-lbs,120,112,FALSE,5,Front-wheel drive,Ford,2012 Ford Fiesta Hatchback,2012 Ford Fiesta SE Hatchback,Manual transmission,2012,186,226,193,38,29,Gasoline
5 Speed Manual,Ford 1.6L 4 Cylinder 120 hp 112 ft-lbs,120,112,FALSE,5,Front-wheel drive,Ford,2012 Ford Fiesta Hatchback,2012 Ford Fiesta SES Hatchback,Manual transmission,2012,186,226,193,38,29,Gasoline
5 Speed Manual,Ford 1.6L 4 Cylinder 120 hp 112 ft-lbs,120,112,FALSE,5,Front-wheel drive,Ford,2011 Ford Fiesta Hatchback,2011 Ford Fiesta Hatchback SE,Manual transmission,2011,160,226,193,37,28,Gasoline
5 Speed Manual,Ford 1.6L 4 Cylinder 120 hp 112 ft-lbs,120,112,FALSE,5,Front-wheel drive,Ford,2011 Ford Fiesta Hatchback,2011 Ford Fiesta Hatchback SES,Manual transmission,2011,160,226,193,37,28,Gasoline
5 Speed Manual,Honda 2.4L 4 cylinder 177 hp 161 ft-lbs,177,161,FALSE,5,Front-wheel drive,Honda,2010 Honda Accord Sedan,2010 Honda Accord LX Sedan,Manual transmission,2010,54,66,58,31,22,Gasoline
5 Speed Automatic,Honda 2.4L 4 cylinder 177 hp 161 ft-lbs,177,161,FALSE,5,Front-wheel drive,Honda,2010 Honda Accord Sedan,2010 Honda Accord LX Sedan AT,Automatic transmission,2010,54,66,195,31,21,Gasoline
5 Speed Manual,Honda 2.4L 4 cylinder 177 hp 161 ft-lbs,177,161,FALSE,5,Front-wheel drive,Honda,2010 Honda Accord Sedan,2010 Honda Accord LX-P Sedan,Manual transmission,2010,54,66,195,31,22,Gasoline
5 Speed Automatic,Honda 2.4L 4 cylinder 177 hp 161 ft-lbs,177,161,FALSE,5,Front-wheel drive,Honda,2010 Honda Accord Sedan,2010 Honda Accord LX-P Sedan AT,Automatic transmission,2010,54,66,195,31,21,Gasoline
5 Speed Manual,Honda 2.4L 4 cylinder 190 hp 162 ft-lbs,190,162,FALSE,5,Front-wheel drive,Honda,2010 Honda Accord Sedan,2010 Honda Accord EX Sedan,Manual transmission,2010,54,66,195,31,22,Gasoline
5 Speed Automatic,Honda 2.4L 4 cylinder 190 hp 162 ft-lbs,190,162,FALSE,5,Front-wheel drive,Honda,2010 Honda Accord Sedan,2010 Honda Accord EX Sedan AT,Automatic transmission,2010,54,66,195,31,21,Gasoline
5 Speed Manual,Honda 2.4L 4 cylinder 190 hp 162 ft-lbs,190,162,FALSE,5,Front-wheel drive,Honda,2010 Honda Accord Sedan,2010 Honda Accord EX-L Sedan,Manual transmission,2010,54,66,195,31,22,Gasoline
5 Speed Automatic,Honda 2.4L 4 cylinder 190 hp 162 ft-lbs,190,162,FALSE,5,Front-wheel drive,Honda,2010 Honda Accord Sedan,2010 Honda Accord EX-L Sedan AT,Automatic transmission,2010,54,66,195,31,21,Gasoline
5 Speed Automatic,Honda 3.5L 6 Cylinder 271 hp 254 ft-lbs,271,254,FALSE,5,Front-wheel drive,Honda,2010 Honda Accord Sedan,2010 Honda Accord EX V-6 Sedan,Automatic transmission,2010,54,71,195,29,19,Gasoline
6 Speed Automatic Select Shift,Toyota 3.5L 6 Cylinder 268 hp 248 ft-lbs,268,248,FALSE,6,Front-wheel drive,Toyota,2011 Toyota Avalon,2011 Toyota Avalon,Automatic transmission,2011,57,155,206,29,20,Gasoline
6 Speed Automatic Select Shift,Toyota 3.5L 6 Cylinder 268 hp 248 ft-lbs,268,248,FALSE,6,Front-wheel drive,Toyota,2011 Toyota Avalon,2011 Toyota Avalon Limited,Automatic transmission,2011,57,155,206,29,20,Gasoline
7 Speed Automatic,Nissan 3.7L 6 Cylinder 332 hp 270 ft-lbs,332,270,FALSE,7,Rear-wheel drive,Nissan,2009 Nissan 370Z Coupe,2009 Nissan 370Z Coupe AT,Automatic transmission,2009,57,150,35,26,18,Gasoline
7 Speed Automatic Select Shift,Nissan 3.7L 6 Cylinder 332 hp 270 ft-lbs,332,270,FALSE,7,Rear-wheel drive,Nissan,2009 Nissan 370Z Coupe,2009 Nissan 370Z Touring Coupe AT,Automatic transmission,2009,57,150,35,26,18,Gasoline
6 Speed Manual,Nissan 3.7L 6 Cylinder 332 hp 270 ft-lbs,332,270,FALSE,6,Rear-wheel drive,Nissan,2009 Nissan 370Z Coupe,2009 Nissan 370Z Touring Coupe,Manual transmission,2009,57,150,35,26,18,Gasoline
6 Speed Manual,Nissan 3.7L 6 Cylinder 332 hp 270 ft-lbs,332,270,FALSE,6,Rear-wheel drive,Nissan,2009 Nissan 370Z Coupe,2009 Nissan 370Z Coupe,Manual transmission,2009,57,150,35,26,18,Gasoline
6 Speed Automatic Select Shift,Toyota 3.5L 6 Cylinder 268 hp 248 ft-lbs,268,248,FALSE,6,Front-wheel drive,Toyota,2010 Toyota Avalon,2010 Toyota Avalon XL,Automatic transmission,2010,57,155,205,28,19,Gasoline
6 Speed Automatic Select Shift,Toyota 3.5L 6 Cylinder 268 hp 248 ft-lbs,268,248,FALSE,6,Front-wheel drive,Toyota,2010 Toyota Avalon,2010 Toyota Avalon XLS,Automatic transmission,2010,57,155,206,28,19,Gasoline
6 Speed Automatic Select Shift,Toyota 3.5L 6 Cylinder 268 hp 248 ft-lbs,268,248,FALSE,6,Front-wheel drive,Toyota,2010 Toyota Avalon,2010 Toyota Avalon Limited,Automatic transmission,2010,57,155,206,28,19,Gasoline
6 Speed Manual,Toyota 2.5L 4 Cylinder 169 hp 167 ft-lbs,169,167,FALSE,6,Front-wheel drive,Toyota,2011 Toyota Camry,2011 Toyota Camry,Manual transmission,2011,29,198,191,33,22,Gasoline
6 Speed Automatic Select Shift,Toyota 2.5L 4 Cylinder 169 hp 167 ft-lbs,169,167,FALSE,6,Front-wheel drive,Toyota,2011 Toyota Camry,2011 Toyota Camry AT,Automatic transmission,2011,29,198,191,32,22,Gasoline
6 Speed Manual,Toyota 2.5L 4 Cylinder 169 hp 167 ft-lbs,169,167,FALSE,6,Front-wheel drive,Toyota,2011 Toyota Camry,2011 Toyota Camry LE,Manual transmission,2011,29,198,191,33,22,Gasoline
6 Speed Automatic Select Shift,Toyota 2.5L 4 Cylinder 169 hp 167 ft-lbs,169,167,FALSE,6,Front-wheel drive,Toyota,2011 Toyota Camry,2011 Toyota Camry LE AT,Automatic transmission,2011,29,198,191,32,22,Gasoline
6 Speed Automatic Select Shift,Toyota 3.5L 6 Cylinder 268 hp 248 ft-lbs,268,248,FALSE,6,Front-wheel drive,Toyota,2011 Toyota Camry,2011 Toyota Camry LE V6,Automatic transmission,2011,29,198,191,29,20,Gasoline
6 Speed Manual,Toyota 2.5L 4 Cylinder 179 hp 171 ft-lbs,179,171,FALSE,6,Front-wheel drive,Toyota,2011 Toyota Camry,2011 Toyota Camry SE,Manual transmission,2011,29,198,186,33,22,Gasoline
6 Speed Automatic Select Shift,Toyota 2.5L 4 Cylinder 179 hp 171 ft-lbs,179,171,FALSE,6,Front-wheel drive,Toyota,2011 Toyota Camry,2011 Toyota Camry SE AT,Automatic transmission,2011,29,198,186,32,22,Gasoline
6 Speed Automatic Select Shift,Toyota 3.5L 6 Cylinder 268 hp 248 ft-lbs,268,248,FALSE,6,Front-wheel drive,Toyota,2011 Toyota Camry,2011 Toyota Camry SE V6,Automatic transmission,2011,29,198,186,29,20,Gasoline
6 Speed Automatic Select Shift,Toyota 2.5L 4 Cylinder 169 hp 167 ft-lbs,169,167,FALSE,6,Front-wheel drive,Toyota,2011 Toyota Camry,2011 Toyota Camry XLE,Automatic transmission,2011,29,198,191,32,22,Gasoline
6 Speed Automatic Select Shift,Toyota 3.5L 6 Cylinder 268 hp 248 ft-lbs,268,248,FALSE,6,Front-wheel drive,Toyota,2011 Toyota Camry,2011 Toyota Camry XLE V6,Automatic transmission,2011,29,198,191,29,20,Gasoline
5 Speed Manual,Ford 2.0L 4 Cylinder 160 hp 146 ft-lbs,160,146,FALSE,5,Front-wheel drive,Ford,2012 Ford Focus Sedan,2012 Ford Focus S Sedan,Manual transmission,2012,31,181,185,36,26,Gasoline
5 Speed Manual,Ford 2.0L 4 Cylinder 160 hp 146 ft-lbs,160,146,FALSE,5,Front-wheel drive,Ford,2012 Ford Focus Sedan,2012 Ford Focus SE Sedan,Manual transmission,2012,31,181,185,36,26,Gasoline
5 Speed Manual,Ford 2.0L 4 Cylinder 140 hp 136 ft-lbs,140,136,FALSE,5,Front-wheel drive,Ford,2011 Ford Focus Sedan,2011 Ford Focus Sedan S,Manual transmission,2011,186,93,208,35,25,Gasoline
4 Speed Automatic,Ford 2.0L 4 Cylinder 140 hp 136 ft-lbs,140,136,FALSE,4,Front-wheel drive,Ford,2011 Ford Focus Sedan,2011 Ford Focus Sedan S AT,Automatic transmission,2011,186,93,208,34,25,Gasoline
5 Speed Manual,Ford 2.0L 4 Cylinder 140 hp 136 ft-lbs,140,136,FALSE,5,Front-wheel drive,Ford,2011 Ford Focus Sedan,2011 Ford Focus Sedan SE,Manual transmission,2011,186,93,208,35,25,Gasoline
4 Speed Automatic,Ford 2.0L 4 Cylinder 140 hp 136 ft-lbs,140,136,FALSE,4,Front-wheel drive,Ford,2011 Ford Focus Sedan,2011 Ford Focus Sedan SE AT,Automatic transmission,2011,186,93,208,34,25,Gasoline
5 Speed Manual,Ford 2.0L 4 Cylinder 140 hp 136 ft-lbs,140,136,FALSE,5,Front-wheel drive,Ford,2011 Ford Focus Sedan,2011 Ford Focus Sedan SES,Manual transmission,2011,186,93,208,35,25,Gasoline
4 Speed Automatic,Ford 2.0L 4 Cylinder 140 hp 136 ft-lbs,140,136,FALSE,4,Front-wheel drive,Ford,2011 Ford Focus Sedan,2011 Ford Focus Sedan SES AT,Automatic transmission,2011,186,93,208,34,25,Gasoline
4 Speed Automatic,Ford 2.0L 4 Cylinder 140 hp 136 ft-lbs,140,136,FALSE,4,Front-wheel drive,Ford,2011 Ford Focus Sedan,2011 Ford Focus Sedan SEL,Automatic transmission,2011,186,93,208,34,25,Gasoline
5 Speed Manual,Ford 2.0L 4 Cylinder 140 hp 136 ft-lbs,140,136,FALSE,5,Front-wheel drive,Ford,2010 Ford Focus Sedan,2010 Ford Focus Sedan S,Manual transmission,2010,186,93,208,35,24,Gasoline
4 Speed Automatic,Ford 2.0L 4 Cylinder 140 hp 136 ft-lbs,140,136,FALSE,4,Front-wheel drive,Ford,2010 Ford Focus Sedan,2010 Ford Focus Sedan S AT,Automatic transmission,2010,186,93,208,34,24,Gasoline
5 Speed Manual,Ford 2.0L 4 Cylinder 140 hp 136 ft-lbs,140,136,FALSE,5,Front-wheel drive,Ford,2010 Ford Focus Sedan,2010 Ford Focus Sedan SE,Manual transmission,2010,186,93,208,35,24,Gasoline
4 Speed Automatic,Ford 2.0L 4 Cylinder 140 hp 136 ft-lbs,140,136,FALSE,4,Front-wheel drive,Ford,2010 Ford Focus Sedan,2010 Ford Focus Sedan SE AT,Automatic transmission,2010,186,93,208,34,24,Gasoline
5 Speed Manual,Ford 2.0L 4 Cylinder 140 hp 136 ft-lbs,140,136,FALSE,5,Front-wheel drive,Ford,2010 Ford Focus Sedan,2010 Ford Focus Sedan SES,Manual transmission,2010,186,93,208,35,24,Gasoline
4 Speed Automatic,Ford 2.0L 4 Cylinder 140 hp 136 ft-lbs,140,136,FALSE,4,Front-wheel drive,Ford,2010 Ford Focus Sedan,2010 Ford Focus Sedan SES AT,Automatic transmission,2010,186,93,208,34,24,Gasoline
5 Speed Manual,Ford 2.0L 4 Cylinder 140 hp 136 ft-lbs,140,136,FALSE,5,Front-wheel drive,Ford,2010 Ford Focus Sedan,2010 Ford Focus Sedan SEL,Manual transmission,2010,186,93,208,35,24,Gasoline
4 Speed Automatic,Ford 2.0L 4 Cylinder 140 hp 136 ft-lbs,140,136,FALSE,4,Front-wheel drive,Ford,2010 Ford Focus Sedan,2010 Ford Focus Sedan SEL AT,Automatic transmission,2010,186,93,208,34,24,Gasoline
6 Speed Manual,Nissan 2.5L 4 cylinder 175 hp 180 ft-lbs,175,180,FALSE,6,Front-wheel drive,Nissan,2011 Nissan Altima Coupe,2011 Nissan Altima Coupe 2.5 S,Manual transmission,2011,3,242,139,31,23,Gasoline
6 Speed Manual,Nissan 3.5L 6 cylinder 270hp 258 ft-lbs,270,258,FALSE,6,Front-wheel drive,Nissan,2011 Nissan Altima Coupe,2011 Nissan Altima Coupe 3.5 SR,Manual transmission,2011,3,242,139,27,18,Gasoline
6 Speed Automatic Select Shift,Volvo 3.0 L 6 Cylinder 300 HP 325 ft-lbs Turbo,300,325,FALSE,6,All-wheel drive,Volvo,2012 Volvo S80,2012 Volvo S80 T6 AWD,Automatic transmission,2012,69,243,213,26,18,Gasoline
6 Speed Automatic Select Shift,Volvo 3.2 L 6 cylinder 240 hp 236 ft-lbs,240,236,FALSE,6,Front-wheel drive,Volvo,2012 Volvo S80,2012 Volvo S80 3.2,Automatic transmission,2012,69,243,213,29,20,Gasoline
6 Speed Automatic Select Shift,Volvo 3.0 L 6 Cylinder 325 HP 354 ft-lbs Turbo,325,354,FALSE,6,All-wheel drive,Volvo,2012 Volvo XC60,2012 Volvo XC60 T6 AWD R-Design,Automatic transmission,2012,97,19,175,23,17,Gasoline
6 Speed Automatic Select Shift,Volvo 3.2 L 6 cylinder 240 hp 236 ft-lbs,240,236,FALSE,6,Front-wheel drive,Volvo,2012 Volvo XC60,2012 Volvo XC60 3.2,Automatic transmission,2012,97,19,175,25,19,Gasoline
6 Speed Automatic Select Shift,Volvo 3.0 L 6 Cylinder 300 HP 325 ft-lbs Turbo,300,325,FALSE,6,All-wheel drive,Volvo,2012 Volvo XC60,2012 Volvo XC60 T6 AWD,Automatic transmission,2012,97,19,175,23,17,Gasoline
6 Speed Automatic Select Shift,Volvo 3.0 L 6 Cylinder 300 HP 325 ft-lbs Turbo,300,325,FALSE,6,All-wheel drive,Volvo,2012 Volvo XC70,2012 Volvo XC70 T6 AWD,Automatic transmission,2012,69,230,66,23,17,Gasoline
6 Speed Automatic Select Shift,Volvo 3.2 L 6 cylinder 240 hp 236 ft-lbs,240,236,FALSE,6,Front-wheel drive,Volvo,2012 Volvo XC70,2012 Volvo XC70 3.2,Automatic transmission,2012,69,230,66,25,19,Gasoline
6 Speed Automatic Select Shift,Volvo 3.2 L 6 cylinder 240 hp 236 ft-lbs,240,236,FALSE,6,Front-wheel drive,Volvo,2012 Volvo XC90,2012 Volvo XC90 3.2,Automatic transmission,2012,105,200,247,23,16,Gasoline
6 Speed Automatic Select Shift,Volvo 3.2 L 6 cylinder 240 hp 236 ft-lbs,240,236,FALSE,6,Front-wheel drive,Volvo,2012 Volvo XC90,2012 Volvo XC90 3.2 R-Design,Automatic transmission,2012,105,200,247,23,16,Gasoline
6 Speed Manual,Nissan 2.5L 4 cylinder 175 hp 180 ft-lbs,175,180,FALSE,6,Front-wheel drive,Nissan,2010 Nissan Altima Coupe,2010 Nissan Altima Coupe 2.5 S,Manual transmission,2010,3,242,139,32,23,Gasoline
